Year,DOY,TIMESTAMP,AirTemp_C,RH_fraction,Vap_Press_kPa,HrlySolRad_kJ_m^2_min^1,WindSpeed_m_s^1,WindDir_Deg,WindDir_STDD_Deg,Rain-Tot,SoilTemp_5cm_C,SoilTemp_15cm_C,HWG_maxspeed_m_s^1,HWG_time,HWG_Dir,BaPress_kPa,ETr,ETo,ETr-Daily,ETo-Daily,Rain-Daily
2013,152,6/1/13 0:00,12.620,0.456,0.666,0.000,6.74,348.10,27.94,0,13.42,13.69,10.10,1407,339.80,85.6802,0.083,0.068,,,
2013,152,6/1/13 1:00,12.470,0.447,0.646,0.000,7.89,339.90,20.95,0,13.21,13.56,12.50,54,321.30,85.7478,0.086,0.073,8.71,6.55,0
2013,152,6/1/13 2:00,12.830,0.432,0.639,0.000,8.13,326.80,12.38,0,13.00,13.42,11.98,60,325.30,85.7950,0.091,0.078,,,
2013,152,6/1/13 3:00,12.640,0.453,0.663,0.000,6.91,324.30,12.11,0,12.81,13.29,11.68,122,347.70,85.8355,0.084,0.069,,,
2013,152,6/1/13 4:00,12.460,0.462,0.667,0.000,9.04,325.50,12.32,0,12.67,13.16,15.50,221,313.10,85.8492,0.086,0.074,,,
2013,152,6/1/13 5:00,12.170,0.477,0.676,0.070,7.43,326.00,12.21,0,12.53,13.04,11.45,240,322.50,85.9404,0.079,0.067,,,
2013,152,6/1/13 6:00,12.210,0.491,0.698,2.395,6.94,323.80,13.26,0,12.41,12.93,9.95,322,323.50,86.0080,0.080,0.069,,,
2013,152,6/1/13 7:00,12.890,0.490,0.727,14.540,7.03,324.10,13.10,0,12.34,12.83,10.62,411,337.30,86.0788,0.351,0.234,,,
2013,152,6/1/13 8:00,14.450,0.439,0.721,30.960,8.40,334.30,23.45,0,12.35,12.74,12.28,468,337.70,86.1240,0.527,0.376,,,
2013,152,6/1/13 9:00,15.230,0.408,0.706,30.360,8.45,343.40,30.95,0,12.47,12.70,12.87,481,318.30,86.1308,0.574,0.409,,,
2013,152,6/1/13 10:00,16.190,0.384,0.706,48.740,8.28,343.60,25.83,0,12.68,12.71,12.20,559,344.80,86.1376,0.724,0.549,,,
2013,152,6/1/13 11:00,16.870,0.360,0.692,48.250,6.66,342.20,25.64,0,13.06,12.80,9.50,624,337.20,86.1705,0.731,0.568,,,
2013,152,6/1/13 12:00,18.270,0.305,0.639,57.460,6.61,4.72,23.22,0,13.52,12.97,10.48,664,13.33,86.1306,0.865,0.681,,,
2013,152,6/1/13 13:00,19.770,0.280,0.644,58.530,5.10,9.49,21.60,0,13.98,13.20,9.28,720,8.49,86.0609,0.884,0.717,,,
2013,152,6/1/13 14:00,20.820,0.250,0.614,54.530,4.53,357.10,28.03,0,14.48,13.45,11.60,780,36.10,85.9947,0.864,0.699,,,
2013,152,6/1/13 15:00,21.540,0.219,0.562,46.100,3.78,357.00,30.27,0,14.95,13.74,11.45,854,346.90,85.9691,0.775,0.621,,,
2013,152,6/1/13 16:00,21.400,0.204,0.520,27.740,2.58,28.63,34.84,0,15.24,14.01,7.70,914,346.00,85.9585,0.530,0.415,,,
2013,152,6/1/13 17:00,20.930,0.224,0.554,12.530,3.02,54.26,40.01,0,15.31,14.23,6.95,1004,113.20,85.9419,0.415,0.287,,,
2013,152,6/1/13 18:00,20.010,0.247,0.578,13.070,4.68,78.71,12.42,0,15.22,14.37,6.65,1035,100.00,85.9372,0.482,0.312,,,
2013,152,6/1/13 19:00,18.340,0.284,0.596,6.532,4.17,79.02,9.58,0,14.98,14.42,6.13,1087,90.20,85.9768,0.352,0.211,,,
2013,152,6/1/13 20:00,14.920,0.376,0.634,0.204,2.11,61.20,6.28,0,14.69,14.38,3.58,1140,69.72,86.0326,0.064,0.038,,,
2013,152,6/1/13 21:00,12.620,0.481,0.701,0.000,1.60,84.10,10.59,0,14.38,14.30,2.68,1208,69.59,86.1233,0.036,0.016,,,
2013,152,6/1/13 22:00,10.820,0.547,0.709,0.000,1.39,57.62,13.25,0,14.05,14.18,2.30,1261,51.73,86.1845,0.023,0.008,,,
2013,152,6/1/13 23:00,10.040,0.577,0.710,0.004,0.40,16.63,1.64,0,13.74,14.04,1.25,1379,332.20,86.1890,-0.008,-0.016,,,
2013,153,6/2/13 0:00,7.809,0.694,0.733,0.009,1.36,333.20,8.12,0,13.42,13.87,2.00,1399,326.40,86.2006,0.009,-0.001,,,
2013,153,6/2/13 1:00,7.050,0.729,0.731,0.007,0.93,327.40,6.07,0,13.13,13.70,1.63,16,344.20,86.1774,0.001,-0.008,8.37,6.82,0
2013,153,6/2/13 2:00,6.102,0.777,0.731,0.001,1.18,350.00,8.63,0,12.85,13.51,1.85,115,10.49,86.1415,0.001,-0.006,,,
2013,153,6/2/13 3:00,5.892,0.800,0.742,0.000,1.14,21.19,4.33,0,12.60,13.33,1.85,174,20.84,86.0938,-0.001,-0.008,,,
2013,153,6/2/13 4:00,5.437,0.823,0.740,0.000,1.30,19.49,4.91,0,12.39,13.15,2.38,238,25.79,86.0265,-0.001,-0.007,,,
2013,153,6/2/13 5:00,5.222,0.795,0.704,0.636,1.13,332.90,34.35,0,12.20,12.97,2.45,283,281.00,85.9676,0.002,-0.004,,,
2013,153,6/2/13 6:00,6.639,0.740,0.720,8.630,1.37,353.90,12.28,0,12.01,12.81,2.38,343,6.82,85.9732,0.079,0.065,,,
2013,153,6/2/13 7:00,10.020,0.589,0.723,19.760,0.91,57.45,18.35,0,11.91,12.64,2.53,381,74.33,85.9297,0.179,0.162,,,
2013,153,6/2/13 8:00,12.630,0.526,0.767,30.950,0.71,230.90,36.70,0,12.03,12.53,2.23,469,247.80,85.8851,0.306,0.289,,,
2013,153,6/2/13 9:00,14.610,0.474,0.787,40.700,0.98,217.50,41.12,0,12.41,12.52,2.68,533,175.20,85.8292,0.439,0.413,,,
2013,153,6/2/13 10:00,16.930,0.423,0.816,48.860,1.09,151.00,27.50,0,13.08,12.63,3.73,598,161.80,85.7522,0.563,0.529,,,
2013,153,6/2/13 11:00,19.310,0.359,0.804,55.280,1.73,173.90,51.68,0,14.01,12.90,4.63,644,168.50,85.6635,0.697,0.637,,,
2013,153,6/2/13 12:00,21.310,0.315,0.797,58.200,2.53,151.50,36.21,0,14.97,13.29,5.68,717,154.70,85.5794,0.805,0.709,,,
2013,153,6/2/13 13:00,24.020,0.247,0.736,57.650,2.54,132.40,30.46,0,15.83,13.73,5.60,746,140.00,85.4749,0.863,0.751,,,
2013,153,6/2/13 14:00,25.870,0.195,0.648,54.030,2.91,129.40,23.65,0,16.50,14.16,5.98,796,145.10,85.3634,0.891,0.749,,,
2013,153,6/2/13 15:00,27.430,0.170,0.621,47.320,3.37,133.20,22.08,0,16.90,14.55,6.88,894,155.70,85.2520,0.881,0.709,,,
2013,153,6/2/13 16:00,28.290,0.152,0.584,38.430,3.65,142.30,22.41,0,17.05,14.86,6.80,933,167.50,85.1567,0.820,0.628,,,
2013,153,6/2/13 17:00,28.880,0.143,0.570,28.530,4.48,130.80,17.11,0,17.01,15.09,7.78,976,149.70,85.0726,0.790,0.556,,,
2013,153,6/2/13 18:00,28.010,0.154,0.583,11.670,4.40,134.50,10.88,0,16.81,15.23,6.28,1021,144.80,85.0192,0.611,0.387,,,
2013,153,6/2/13 19:00,25.200,0.200,0.639,1.359,3.33,137.70,8.48,0,16.51,15.30,5.45,1082,131.40,85.0056,0.178,0.126,,,
2013,153,6/2/13 20:00,21.240,0.284,0.713,0.192,1.72,72.99,13.73,0,16.17,15.29,2.53,1173,60.24,85.0423,0.087,0.050,,,
2013,153,6/2/13 21:00,17.890,0.376,0.768,0.000,1.99,90.10,5.52,0,15.82,15.23,2.98,1203,87.20,85.0435,0.072,0.043,,,
2013,153,6/2/13 22:00,15.980,0.440,0.798,0.000,0.95,91.40,8.05,0,15.48,15.12,2.08,1302,74.86,85.0500,0.028,0.009,,,
2013,153,6/2/13 23:00,15.150,0.444,0.763,0.000,0.70,49.30,14.81,0,15.12,14.98,2.53,1371,66.86,85.0427,0.017,0.001,,,
2013,154,6/3/13 0:00,14.420,0.470,0.772,0.000,2.69,88.40,7.73,0,14.77,14.82,4.25,1405,85.60,84.9837,0.062,0.041,,,
2013,154,6/3/13 1:00,12.810,0.538,0.795,0.000,1.66,85.10,16.47,0,14.50,14.64,3.35,3,88.80,84.9265,0.035,0.018,10.31,7.99,0
2013,154,6/3/13 2:00,11.060,0.629,0.828,0.000,1.36,22.76,11.17,0,14.25,14.47,2.00,87,25.32,84.9143,0.019,0.007,,,
2013,154,6/3/13 3:00,9.020,0.740,0.849,0.000,1.27,326.80,18.48,0,13.98,14.31,2.45,167,331.70,84.8978,0.008,-0.001,,,
2013,154,6/3/13 4:00,7.707,0.791,0.831,0.007,1.31,312.30,35.97,0,13.71,14.14,4.25,234,278.50,84.9076,0.004,-0.003,,,
2013,154,6/3/13 5:00,7.234,0.802,0.816,0.674,1.17,308.70,24.04,0,13.46,13.96,2.68,282,297.60,84.8994,0.005,-0.001,,,
2013,154,6/3/13 6:00,9.480,0.737,0.873,8.580,1.22,303.50,17.89,0,13.22,13.79,2.45,339,294.30,84.9122,0.089,0.075,,,
2013,154,6/3/13 7:00,12.780,0.634,0.934,19.350,1.20,305.40,20.63,0,13.09,13.61,2.83,406,268.70,84.8893,0.195,0.174,,,
2013,154,6/3/13 8:00,18.230,0.451,1.215,31.870,1.13,290.00,25.20,0,13.22,13.49,3.05,461,285.30,84.9060,0.367,0.340,,,
2013,154,6/3/13 9:00,21.690,0.349,1.226,42.770,1.72,214.10,26.29,0,13.85,13.50,3.88,512,213.50,84.8632,0.563,0.510,,,
2013,154,6/3/13 10:00,26.200,0.273,0.927,45.940,1.53,297.00,33.47,0,14.69,13.70,3.50,579,266.60,84.8505,0.683,0.611,,,
2013,154,6/3/13 11:00,29.070,0.191,0.767,52.650,2.06,327.50,26.00,0,15.62,14.03,5.00,648,330.40,84.8421,0.858,0.746,,,
2013,154,6/3/13 12:00,30.570,0.141,0.620,56.970,2.31,316.70,42.77,0,16.65,14.49,5.30,696,303.90,84.7964,0.964,0.828,,,
2013,154,6/3/13 13:00,31.570,0.118,0.549,57.010,2.46,333.70,41.25,0,17.63,15.03,5.68,741,13.44,84.7283,0.997,0.847,,,
2013,154,6/3/13 14:00,31.840,0.117,0.551,49.360,3.36,310.70,30.27,0,18.39,15.58,7.55,829,324.40,84.7037,1.004,0.805,,,
2013,154,6/3/13 15:00,31.760,0.119,0.558,40.340,3.23,311.20,27.24,0,18.76,16.05,7.03,856,323.20,84.6963,0.884,0.692,,,
2013,154,6/3/13 16:00,30.900,0.126,0.563,20.190,5.69,257.70,21.21,0,18.86,16.41,9.80,959,251.10,84.6865,0.904,0.602,,,
2013,154,6/3/13 17:00,29.020,0.145,0.579,12.110,5.70,271.70,12.61,0,18.57,16.64,11.83,974,263.50,84.7345,0.778,0.493,,,
2013,154,6/3/13 18:00,28.100,0.157,0.594,6.543,4.59,273.70,13.02,0,18.11,16.70,8.60,1066,254.00,84.7726,0.602,0.370,,,
2013,154,6/3/13 19:00,27.070,0.186,0.667,6.288,4.19,261.60,10.45,0,17.71,16.67,8.37,1080,283.50,84.8379,0.533,0.330,,,
2013,154,6/3/13 20:00,24.920,0.212,0.665,1.232,3.48,322.80,20.33,0,17.37,16.58,5.90,1169,3.09,84.9184,0.378,0.216,,,
2013,154,6/3/13 21:00,21.610,0.232,0.598,0.000,3.39,37.13,9.12,0,17.05,16.48,6.13,1253,22.94,85.0909,0.155,0.116,,,
2013,154,6/3/13 22:00,19.900,0.265,0.613,0.000,3.60,4.23,14.69,0,16.70,16.34,6.35,1266,21.79,85.2373,0.141,0.108,,,
2013,154,6/3/13 23:00,16.750,0.467,0.888,0.000,3.45,359.20,18.03,0,16.34,16.17,6.35,1344,6.26,85.2646,0.087,0.067,,,
2013,155,6/4/13 0:00,15.460,0.601,1.054,0.000,3.00,351.50,16.40,0,16.01,15.98,4.85,1398,1.51,85.3413,0.058,0.043,,,
2013,155,6/4/13 1:00,14.200,0.645,1.044,0.000,3.63,345.40,21.11,0,15.73,15.80,5.08,12,347.00,85.3873,0.052,0.040,7.22,5.93,6
2013,155,6/4/13 2:00,13.850,0.672,1.063,0.000,3.49,3.98,16.72,0,15.47,15.62,5.15,71,1.44,85.4301,0.046,0.036,,,
2013,155,6/4/13 3:00,13.070,0.682,1.026,0.000,4.32,2.33,27.48,0,15.24,15.45,7.40,165,9.40,85.4843,0.046,0.037,,,
2013,155,6/4/13 4:00,11.270,0.695,0.928,0.000,3.88,4.52,17.84,0,15.00,15.28,6.65,182,8.11,85.5696,0.039,0.031,,,
2013,155,6/4/13 5:00,10.010,0.777,0.954,0.701,1.97,329.90,18.04,0,14.76,15.11,3.58,246,0.05,85.6774,0.045,0.026,,,
