Date	Time	u_ref	t_ref	d_ref	precip	Qpar	t_canopy	d_canopy	p_atm	CO2_atm	Ts0	Tsurf	Troot	Zw	xylemScalar	NEEobs	Ec
2012001	0	2.05	-0.45	0.421490223	0	0	-0.45	0.421490223	81	390	-0.45	2.167992724	5.474340347	10	1	-999	-999
2012001	0.5	1.25	-0.55	0.424724437	0	-0.912	-0.55	0.424724437	81	390	-0.55	2.121007724	5.468154005	10	1	-999	-999
2012001	1	1.8	-0.5	0.431991366	0	-0.912	-0.5	0.431991366	81	390	-0.5	2.144500224	5.461854699	10	1	-999	-999
2012001	1.5	3.7	-1.8	0.378580565	0	-1.824	-1.8	0.378580565	81	390	-1.8	1.533695224	5.455522407	10	1	-999	-999
2012001	2	3.6	-1.75	0.382526667	0	-0.912	-1.75	0.382526667	81	390	-1.75	1.557187724	5.449174375	10	1	-999	-999
2012001	2.5	1.9	-2.1	0.371369775	0	0	-2.1	0.371369775	81	390	-2.1	1.392740224	5.443112917	10	1	-999	-999
2012001	3	2.1	-2.05	0.356481206	0	0	-2.05	0.356481206	81	390	-2.05	1.416232724	5.437602269	10	1	-999	-999
2012001	3.5	1.65	-2.25	0.351933478	0	0	-2.25	0.351933478	81	390	-2.25	1.322262724	5.43208375	10	1	-999	-999
2012001	4	1.65	-2.15	0.348874553	0	0	-2.15	0.348874553	81	390	-2.15	1.369247724	5.426032477	10	1	-999	-999
2012001	4.5	1.8	-2	0.328048123	0	0	-2	0.328048123	81	390	-2	1.439725224	5.419646829	10	1	-999	-999
2012001	5	1	-1.85	0.342076611	0	0	-1.85	0.342076611	81	390	-1.85	1.510202724	5.413204352	10	1	-999	-999
2012001	5.5	0.95	-2.55	0.306274908	0	-0.912	-2.55	0.306274908	81	390	-2.55	1.181307724	5.406719398	10	1	-999	-999
2012001	6	0.55	-1.85	0.317642568	0	0	-1.85	0.317642568	81	390	-1.85	1.510202724	5.400221134	10	1	-999	-999
2012001	6.5	1.85	-1.55	0.334868733	0	0	-1.55	0.334868733	81	390	-1.55	1.651157724	5.393809965	10	1	-999	-999
2012001	7	1.1	-2	0.365692989	0	2.736	-2	0.365692989	81	390	-2	1.439725224	5.386629294	10	1	-999	-999
2012001	7.5	1.6	-2.4	0.361660087	0	48.336	-2.4	0.361660087	81	390	-2.4	1.251785224	5.379103831	10	1	-999	-999
2012001	8	2.3	-1.95	0.391145146	0	152.304	-1.95	0.391145146	81	390	-1.95	1.463217724	5.371782419	10	1	-999	-999
2012001	8.5	2.15	-0.9	0.421154335	0	343.824	-0.9	0.421154335	81	390	-0.9	1.956560224	5.364362049	10	1	-999	-999
